scope,weighting,a,b,a_less_pct,ties_pct,a_greater_pct,a_auc
Bihar,person_weight,OBC,Forward/General,54.48592888290915,0.015060302231177094,45.49901081485967,0.4550654096597526
Bihar,person_weight,OBC,OBC,49.880517379194146,0.2389652416119583,49.880517379193904,0.4999999999999988
Bihar,person_weight,OBC,SC,41.89673906955199,0.02867357832250436,58.074587352125505,0.5808892414128676
Bihar,person_weight,OBC,ST,41.79906341006891,0.04228060430311637,58.15865598562797,0.5817979628777953
Bihar,person_weight,SC,Brahmin,69.95890508171796,0.0018267096725755002,30.03926820860945,0.3004018156344574
Bihar,person_weight,SC,Forward/General,61.788390284175456,0.0342201246011874,38.17738959122335,0.3819449965352395
Bihar,person_weight,SC,OBC,58.074587352125576,0.028673578322504372,41.89673906955191,0.41911075858713165
Bihar,person_weight,SC,SC,49.70870563489774,0.5825887302044915,49.70870563489777,0.5000000000000001
Bihar,person_weight,SC,ST,49.20717495821893,0.043030917309503175,50.749794124471556,0.5077130958312631
Bihar,person_weight,ST,Brahmin,69.77966350172305,0.013033213404384675,30.207303284872587,0.30213819891574784
Bihar,person_weight,ST,Forward/General,61.7520724978716,0.09403216446218436,38.153895337666235,0.38200911419897327
Bihar,person_weight,ST,OBC,58.15865598562808,0.04228060430311606,41.79906341006881,0.41820203712220366
Bihar,person_weight,ST,SC,50.74979412447158,0.04303091730950315,49.207174958218936,0.4922869041687369
Bihar,person_weight,ST,ST,47.099186501875764,5.801626996248502,47.09918650187574,0.4999999999999999
