outcome,group,value,percent
owned_land_acres,Others,5.81,93.74267888073919
owned_land_acres,Others,5.82,93.74374984096738
owned_land_acres,Others,5.83,93.75794006399084
owned_land_acres,Others,5.84,93.76838460361623
owned_land_acres,Others,5.85,93.77026949361783
owned_land_acres,Others,5.86,93.77064165229713
owned_land_acres,Others,5.87,93.77215170621886
owned_land_acres,Others,5.88,93.77622670988713
owned_land_acres,Others,5.89,93.78984731593921
owned_land_acres,Others,5.9,93.81289103329907
owned_land_acres,Others,5.91,93.81313066065012
owned_land_acres,Others,5.92,93.82162002850893
owned_land_acres,Others,5.93,93.82386904498813
owned_land_acres,Others,5.95,93.82431884828397
owned_land_acres,Others,5.97,93.82446342791478
owned_land_acres,Others,5.98,93.82455445953417
owned_land_acres,Others,6.0,93.87126572858678
owned_land_acres,Others,6.01,94.05966235842776
owned_land_acres,Others,6.02,94.15470137712741
owned_land_acres,Others,6.03,94.2664898925078
owned_land_acres,Others,6.04,94.38462036661944
owned_land_acres,Others,6.05,94.49072173512606
owned_land_acres,Others,6.06,94.55938937561884
owned_land_acres,Others,6.07,94.5945730965153
owned_land_acres,Others,6.08,94.5968361693475
owned_land_acres,Others,6.09,94.62706937658916
owned_land_acres,Others,6.1,94.69773133244485
owned_land_acres,Others,6.11,94.70080364959945
owned_land_acres,Others,6.12,94.71484348303287
owned_land_acres,Others,6.13,94.7229627002628
owned_land_acres,Others,6.14,94.72660396503862
owned_land_acres,Others,6.15,94.73217831302634
owned_land_acres,Others,6.17,94.73243802088167
owned_land_acres,Others,6.18,94.73512345365384
owned_land_acres,Others,6.19,94.73685707052321
owned_land_acres,Others,6.2,94.77113583002686
owned_land_acres,Others,6.21,94.78294383589275
